"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"League of Women Voters of Portland","09/19/2025","","Personal Meeting","Police and Public Safety","Improve reporting and oversight of the Portland Police Bureau's cooperation with the FBI's Joint Terrorism Task Force","Sameer Kanal","Debbie Aiona",
"Lyft, Inc.","07/08/2025","","Personal Meeting","Other: Transportation","Investing in electrification for Lyft drivers","Millicent Williams","Marissa Cade",
"Lyft, Inc.","07/14/2025","","Personal Meeting","Other: Budget","TNC Fee","Millicent Williams; Raihana Ansary ","Elizabeth Hahn; Jon Walker",
"Nancy Hiser","07/07/2025","09/29/2025","Committee Meeting; Communication Preparation; Email; Meeting Preparation; Social Media; Virtual Meeting","Other: Community Safety","Supporting community advocacy to BPS on the CEI Hub Policy Project","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Engstrom; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Maria Sipin; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Suzy Deuster; Tiffany Koyama Lane","Nancy G Hiser",
"Nancy Hiser","07/07/2025","","Communication Preparation; Direct Mail; Email","Planning","Remove liquefaction zones from EOA consideration to build on","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Nancy G Hiser",
"Nancy Hiser","07/08/2025","07/15/2025","Email","Other: Community Safety","Support efforts on safety at the CEI Hub (link to video)","Eric Zimmerman; Keith Wilson; Mitch Green; Olivia Clark","Nancy G Hiser",
"Nancy Hiser","07/09/2025","09/09/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting","Other: Community Safety","Community proposals for risk reduction at the CE Hub","Mitch Green","Nancy G Hiser",
"Nancy Hiser","07/14/2025","07/22/2025","Email","Environment: natural","Support flood hazard amendments","Angelita Morillo; Candace Avalos; Eric Zimmerman; Mitch Green; Olivia Clark","Nancy G Hiser",
"Nancy Hiser","08/06/2025","08/07/2025","Communication Preparation; Email","Other: Community Safety","Oppose BPS Proposed Alternative Policies","Eric Engstrom; Mitch Green","Nancy G Hiser",
"Nancy Hiser","08/11/2025","09/11/2025","Communication Preparation; Email","Other: Community Safety","Oppose BPS Proposed Policies","Angelita Morillo; Candace Avalos; Dan Ryan; Sameer Kanal; Steve Novick","Nancy G Hiser",
"Nancy Hiser","08/22/2025","08/30/2025","Communication Preparation; Email","Other: Community Safety","Review draft community ordinance for CEI Hub","Mitch Green","Nancy G Hiser",
"Nancy Hiser","08/29/2025","09/22/2025","Communication Preparation; Email; Meeting Preparation; Virtual Meeting","Other: Community Safety","Support community advocacy to strengthen BPS Alternative #4","Angelita Morillo; Suzy Deuster","Nancy G Hiser",
"Northwest Grocery Retail Association","08/22/2025","","Text Message","Neighborhood Livability: general","Alternative Access Redemption Site","Aisling Coghlan","Amy Ruiz",
"Northwest Grocery Retail Association","08/26/2025","","Text Message","Neighborhood Livability: general","Alternative Access Redemption Site","Aisling Coghlan","Amy Ruiz",
"Northwest Grocery Retail Association","08/28/2025","","Email","Neighborhood Livability: general","Alternative Access Redemption Site","Aisling Coghlan","Amy Ruiz",
"Northwest Grocery Retail Association","08/28/2025","","Telephone","Neighborhood Livability: general","Alternative Access Redemption Site","Angelita Morillo","Amy Ruiz",
"Northwest Grocery Retail Association","08/28/2025","","Text Message","Neighborhood Livability: general","Alternative Access Redemption Site","Angelita Morillo","Amy Ruiz",
"Northwest Grocery Retail Association","09/09/2025","","Personal Meeting","Neighborhood Livability: general","Alternative Access Redemption Site","Andre Miller; Angelita Morillo; Spencer Knowles; Steve Novick; Tiffany Koyama Lane","Amy Ruiz",
"Northwest Grocery Retail Association","09/15/2025","","Virtual Meeting","Neighborhood Livability: general","Alternative Access Redemption Site","Sprout Chinn","Amy Ruiz",
"Northwest Grocery Retail Association","09/18/2025","","Telephone","Neighborhood Livability: general","Alternative Access Redemption Site","Aisling Coghlan","Amy Ruiz",
"Northwest Grocery Retail Association","09/18/2025","","Text Message","Neighborhood Livability: general","Alternative Access Redemption Site","Aisling Coghlan","Amy Ruiz",
"Northwest Grocery Retail Association","09/18/2025","","Email","Neighborhood Livability: general","Alternative Access Redemption Site","Aisling Coghlan; Keith Wilson","Amy Ruiz",
"Northwest Grocery Retail Association","09/23/2025","","Personal Meeting","Neighborhood Livability: general","Alternative Access Redemption Site","Spencer Knowles; Steve Novick","Amy Ruiz",
"Northwest Grocery Retail Association","09/24/2025","","Email","Neighborhood Livability: general","Alternative Access Redemption Site","Spencer Knowles","Amy Ruiz",
"Northwest Grocery Retail Association","09/28/2025","","Telephone","Neighborhood Livability: general","Alternative Access Redemption Site","Angelita Morillo","Amy Ruiz",
"Northwest Grocery Retail Association","09/28/2025","","Telephone","Neighborhood Livability: general","Alternative Access Redemption Site","Angelita Morillo","Amy Ruiz",
"Northwest Grocery Retail Association","09/28/2025","","Text Message","Neighborhood Livability: general","Alternative Access Redemption Site","Angelita Morillo","Amy Ruiz",
"Northwest Grocery Retail Association","09/28/2025","","Text Message","Neighborhood Livability: general","Alternative Access Redemption Site","Angelita Morillo","Amy Ruiz",
"Northwest Grocery Retail Association","09/29/2025","","Personal Meeting","Neighborhood Livability: general","Alternative Access Redemption Site","Andre Miller; Angelita Morillo; Sprout Chinn","Amy Ruiz",
"Oregon Smart Growth","07/08/2025","","Text Message","Housing and Community Development","Temporary SDC Waiver","Aisling Coghlan","Amy Ruiz",
"Oregon Smart Growth","07/09/2025","","Personal Meeting","Housing and Community Development","Development 101","Sameer Kanal","Amy Ruiz",
"Oregon Smart Growth","07/11/2025","","Personal Meeting","Housing and Community Development","Development 101","Christian Aguinaga ","Kari Chisholm",
"Oregon Smart Growth","07/14/2025","","Email","Housing and Community Development","Development 101","Christian Aguinaga ","Kari Chisholm",
"Oregon Smart Growth","07/17/2025","","Telephone","Housing and Community Development","Development 101","Sofia Diffee","Amy Ruiz",
"Oregon Smart Growth","07/17/2025","","Text Message","Housing and Community Development","Development 101","Sofia Diffee","Amy Ruiz",
"Oregon Smart Growth","07/24/2025","","Personal Meeting","Housing and Community Development","Development 101","Candace Avalos; Sofia Diffee","Amy Ruiz; Tom Rinehart",
"Oregon Smart Growth","07/28/2025","","Personal Meeting","Housing and Community Development","Development 101","Christian Aguinaga ","Kari Chisholm",
"Oregon Smart Growth","07/28/2025","","Personal Meeting","Housing and Community Development","Development 101","Megan Beyer; Olivia Clark","Amy Ruiz; Kari Chisholm",
"Oregon Smart Growth","07/28/2025","","Personal Meeting","Housing and Community Development","Development 101","Christian Aguinaga ","Kari Chisholm",
"Oregon Smart Growth","08/13/2025","","Personal Meeting","Housing and Community Development","Development 101","Christian Aguinaga ; Mitch Green","Amy Ruiz",
"Oregon Smart Growth","08/19/2025","","Personal Meeting","Housing and Community Development","Social Housing, Rental Regulations Study","Helmi Hisserich","Amy Ruiz",
"Oregon Smart Growth","09/17/2025","","Virtual Meeting","Development Services","Monthly Permitting Check-In","David Kuhnhausen","Amy Ruiz",
"Oregon Smart Growth","09/18/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Transportation Funding","Millicent Williams; Olivia Clark; Priya Dhanapal","Amy Ruiz",
"Oregon Smart Growth","09/23/2025","","Email","Development Services","RICAP 11 Testimony","Steph Routh","Amy Ruiz",
"Port of Portland","07/17/2025","","Personal Meeting","Business and Economic Development","Sustainable Aviation Fuel
","Kezia Wanner","Dan Eisenbeis",
"Port of Portland","07/23/2025","","Personal Meeting","Business and Economic Development","Sustainable Aviation Fuel","Claire Adamsick","Dan Eisenbeis",
"Port of Portland","07/23/2025","","Personal Meeting","Business and Economic Development","Mass Timber","Claire Adamsick","Dan Eisenbeis",
"Port of Portland","08/07/2025","","Personal Meeting","Business and Economic Development","Sustainable Aviation Fuel","Aisling Coghlan","Dan Eisenbeis",
"Port of Portland","08/11/2025","","Telephone; Text Message","Planning","Public Infrastructure Environmental Code 
","Steph Routh","Dan Eisenbeis",
"Port of Portland","08/15/2025","","Personal Meeting","Business and Economic Development","Sustainable Aviation Fuel
","Candace Avalos; Maria Sipin; Mitch Green","Curtis Robinhold; Dan Eisenbeis; Emerald Bogue; Sheree Temple",
"Port of Portland","08/15/2025","","Goodwill Building (non-lobbying)","Other: Goodwill building","Meet and greet (goodwill building)
","Candace Avalos","Curtis Robinhold",
"Port of Portland","08/19/2025","","Personal Meeting","Business and Economic Development","Sustainable Aviation Fuel","Megan Beyer","Dan Eisenbeis",
"Port of Portland","08/27/2025","","Goodwill Building (non-lobbying)","Other: state of the city","Discuss the state of the City of Portland (goodwill building)
","Aisling Coghlan; Keith Wilson; Kristopher Taft; Raihana Ansary ; Taylor Zajonic","Curtis Robinhold",
"Port of Portland","09/05/2025","","Personal Meeting","Business and Economic Development","Sustainable Aviation Fuel
","Sameer Kanal; Spencer Knowles; Steve Novick","Curtis Robinhold; Dan Eisenbeis; Dan Pippenger; Emerald Bogue; Sheree Temple",
"Port of Portland","09/30/2025","","Email; Telephone","Planning","CEI hub policy project
","Mitch Green","Dan Eisenbeis",
"Port of Portland","09/30/2025","","Email; Telephone","Planning","CEI hub policy project
","Olivia Clark","Dan Eisenbeis",
"Portland Business Alliance","07/01/2025","07/02/2025","Telephone","Business and Economic Development","Parks levy. ","Aisling Coghlan; Eric Zimmerman; Steve Novick","Jon Isaacs",
"Portland Business Alliance","07/03/2025","","Personal Meeting","Business and Economic Development","Reviewing Central Library safety incidents and discussing security program.","Kristopher Taft","Mark Wells",
"Portland Business Alliance","07/03/2025","","Email; Goodwill Building (non-lobbying)","Business and Economic Development","Invite to National Night Out at Director Park.","Keith Wilson","Mark Wells",
"Portland Business Alliance","07/07/2025","","Email","Business and Economic Development","Parks levy discussion.","Natalie Sept","Jon Isaacs",
"Portland Business Alliance","07/07/2025","","Email","Business and Economic Development","Parks maintenance ","Sonia Schmanski","Jon Isaacs",
"Portland Business Alliance","07/07/2025","","Email","Business and Economic Development","Mayor meeting logistics.","Grace Galvez Mora; Raihana Ansary ","Meikelo Cabbage",
"Portland Business Alliance","07/07/2025","","Personal Meeting","Business and Economic Development","Parks levy discussion.","Elana Pirtle-Guiney; Steve Novick","Jon Isaacs",
"Portland Business Alliance","07/08/2025","","Meeting Preparation; Text Message","Business and Economic Development","Scheduling.","Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","07/08/2025","","Email","Business and Economic Development","Central Library safety. ","Aisling Coghlan","Jon Isaacs",
"Portland Business Alliance","07/08/2025","","Telephone","Business and Economic Development","Central library discussion. ","Kezia Wanner; Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","07/08/2025","","Telephone","Business and Economic Development","Parks levy discussion. ","Elana Pirtle-Guiney","Jon Isaacs",
"Portland Business Alliance","07/09/2025","","Telephone","Business and Economic Development","Central library. ","Keith Wilson","Jon Isaacs",
"Portland Business Alliance","07/09/2025","","Email","Business and Economic Development","Parks levy.","Eric Zimmerman","Jon Isaacs",
"Portland Business Alliance","07/10/2025","","Email","Business and Economic Development","Parks Levy","Aisling Coghlan; Natalie Sept; Ryan Nielsen","Jon Isaacs",
"Portland Business Alliance","07/10/2025","","Telephone","Business and Economic Development","Central library. ","Aisling Coghlan","Jon Isaacs",
"Portland Business Alliance","07/10/2025","","Telephone","Business and Economic Development","Parks levy ","Dan Ryan; Loretta Smith","Jon Isaacs",
"Portland Business Alliance","07/10/2025","","Text Message","Business and Economic Development","Central Library","Aisling Coghlan","Jon Isaacs",
"Portland Business Alliance","07/18/2025","","Telephone; Text Message","Business and Economic Development","Coordinating follow-up meeting regarding Central Library security. ","Kristopher Taft","Mark Wells",
"Portland Business Alliance","07/18/2025","","Telephone; Text Message","Business and Economic Development","Distributed draft Downtown Portland Clean& Safe security plan budget for library discussion with Mayor's office staff.","Kristopher Taft","Mark Wells",
"Portland Business Alliance","07/22/2025","","Email","Business and Economic Development","Invitation to Downtown Portland Clean & Safe annual appreciation event. ","Ashley McKenzie","Meikelo Cabbage",
"Portland Business Alliance","07/23/2025","","Email","Business and Economic Development","82nd Ave. improvement project","Millicent Williams","Jon Isaacs",
"Portland Business Alliance","07/24/2025","","Email","Business and Economic Development","Best Practices attendance inquiry.","Kezia Wanner","Jon Isaacs",
"Portland Business Alliance","07/24/2025","","Email","Business and Economic Development","Central library. ","Kristopher Taft","Steve Wytcherley",
"Portland Business Alliance","07/25/2025","","Email; Meeting Preparation","Business and Economic Development","Coordinating meeting with District 1 councilors. ","Eva Stanganelli","Meikelo Cabbage",
"Portland Business Alliance","07/28/2025","","Telephone","Business and Economic Development","Transportation funding discussion.","Millicent Williams","Jon Isaacs",
"Portland Business Alliance","07/30/2025","08/13/2025","Telephone","Business and Economic Development","General economic development discussion, separate conversations. ","Aisling Coghlan; Kezia Wanner; Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","07/30/2025","","Personal Meeting","Business and Economic Development","Tariff and Trade Town Hall with Congresswoman Dexter. ","Sam Chase","Jon Isaacs; Meikelo Cabbage",
"Portland Business Alliance","07/31/2025","","Email","Business and Economic Development","Transportation/Portland Bureau of Transportation discussion","Megan Beyer","Jon Isaacs",
"Portland Business Alliance","08/01/2025","","Email","Business and Economic Development","Portland Bureau of Transportation discussion","Priya Dhanapal","Jon Isaacs",
"Portland Business Alliance","08/04/2025","","Email; Meeting Preparation","Business and Economic Development","Scheduling meetings. ","Ashley McKenzie","Meikelo Cabbage",
"Portland Business Alliance","08/04/2025","","Email","Business and Economic Development","Coordinating district 3 councilor meetings. ","Alexander Browne","Meikelo Cabbage",
"Portland Business Alliance","08/05/2025","09/15/2025","Virtual Meeting","Business and Economic Development","Bounty of Umatilla event coordination.","Raihana Ansary ","Sydney Mead",
"Portland Business Alliance","08/05/2025","","Email; Meeting Preparation","Business and Economic Development","Scheduling meeting with Council Vice President Koyama Lane.","Mary Li","Meikelo Cabbage",
"Portland Business Alliance","08/07/2025","","Personal Meeting","Business and Economic Development","Transportation infrastructure discussion.","Olivia Clark","Jon Isaacs",
"Portland Business Alliance","08/07/2025","","Email","Business and Economic Development","Portland Bureau of Transportation discussion.","Megan Beyer","Jon Isaacs",
"Portland Business Alliance","08/08/2025","","Email","Business and Economic Development","Best Practices trip infomation.","Megan Beyer","Jon Isaacs",
"Portland Business Alliance","08/08/2025","","Telephone","Business and Economic Development","Small business support.","Kezia Wanner","Jon Isaacs",
"Portland Business Alliance","08/11/2025","","Telephone","Business and Economic Development","Follow up call regarding safety at the Central Library.","Kristopher Taft","Mark Wells",
"Portland Business Alliance","08/11/2025","","Personal Meeting","Business and Economic Development","Reviewing revitalization plan, discussing opportunities for Enhanced Service District support.","Aisling Coghlan; Keith Wilson; Kristopher Taft; Raihana Ansary ","Mark Wells; Steve Wytcherley",
"Portland Business Alliance","08/12/2025","","Email","Business and Economic Development","Copper theft.","Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","08/12/2025","","Email","Business and Economic Development","Meeting logistics/rescheduling.","Faisal Osman; Grace Galvez Mora","Meikelo Cabbage",
"Portland Business Alliance","08/13/2025","09/05/2025","Email; Meeting Preparation","Business and Economic Development","Scheduling","Aisling Coghlan; Donnie Oliveira; Eric Engstrom; Lisa Freeman; Millicent Williams; Mitch Green; Priya Dhanapal; Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","08/14/2025","","Text Message","Business and Economic Development","Event logistical update.","Raihana Ansary ","Meikelo Cabbage",
"Portland Business Alliance","08/14/2025","","Goodwill Building (non-lobbying); Personal Meeting","Business and Economic Development","Mayor Wilson attendance at Downtown Portland Clean & Safe Annual Appreciation Event.","Keith Wilson; Raihana Ansary ","Mark Wells; Meikelo Cabbage; Steve Wytcherley; Sydney Mead",
"Portland Business Alliance","08/15/2025","","Email; Goodwill Building (non-lobbying)","Business and Economic Development","Thank you note and report delivery. ","Keith Wilson","Mark Wells",
"Portland Business Alliance","08/19/2025","","Email","Business and Economic Development","Coordinating meeting with KLM Airlines representative.","Kristopher Taft","Steve Wytcherley",
"Portland Business Alliance","08/21/2025","","Email; Meeting Preparation","Business and Economic Development","Coordinating meeting regarding transportation funding.","Megan Beyer","Meikelo Cabbage",
"Portland Business Alliance","08/21/2025","","Personal Meeting","Business and Economic Development","Parks levy discussion.","Elana Pirtle-Guiney","Jon Isaacs",
"Portland Business Alliance","08/22/2025","","Telephone","Business and Economic Development","Discussion of Street Outreach programs.","Keith Wilson","Mark Wells",
"Portland Business Alliance","08/25/2025","","Email; Meeting Preparation","Business and Economic Development","District 2 Councilors meeting scheduling. ","Jennifer Stewart","Meikelo Cabbage",
"Portland Business Alliance","08/25/2025","","Personal Meeting","Business and Economic Development","Meeting with KLM Airlines representative. ","Kristopher Taft","Meikelo Cabbage; Steve Wytcherley",
"Portland Business Alliance","08/26/2025","","Email","Business and Economic Development","Responding to message from Councilor Clark's office regarding Enhanced Service District programs and crime prevention.  ","Megan Beyer","Mark Wells",
"Portland Business Alliance","09/02/2025","09/17/2025","Email; Meeting Preparation","Business and Economic Development","Bounty of Umatilla event coordination","Raihana Ansary ; Taylor Zajonic","Sydney Mead",
"Portland Business Alliance","09/02/2025","09/08/2025","Telephone","Business and Economic Development","Series of discussions about public safety. ","Steve Novick","Jon Isaacs",
"Portland Business Alliance","09/04/2025","09/19/2025","Email","Business and Economic Development","Soliciting quote for Downtown Foot Traffic report release. ","Raihana Ansary ; Taylor Zajonic","Sydney Mead",
"Portland Business Alliance","09/04/2025","","Personal Meeting","Business and Economic Development","Economic development discussion.","Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","09/05/2025","","Text Message","Business and Economic Development","Transportation infrastructure discussion.","Olivia Clark","Jon Isaacs",
