"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Oregon Museum of Science and Industry ","11/07/2023","Committee Meeting","Urban Renewal","Potential TIF district exploration committee","Williams, Millicent","Erin Graham",
"Oregon Museum of Science and Industry ","12/08/2023","Committee Meeting","Urban Renewal","Potential TIF district exploration committee","Williams, Millicent","Erin Graham",
"Oregon Smart Growth","10/05/2023","Personal Meeting","Housing and Community Development","Regional Housing Summit","Fitzpatrick, Andrew","Amy Ruiz",
"Oregon Smart Growth","10/06/2023","Text Message","Police and Public Safety","police hiring/recruitment","Fitzpatrick, Andrew","Amy Ruiz",
"Oregon Smart Growth","10/06/2023","Email","Housing and Community Development","Regional Housing Summit","Esau, Rebecca","Amy Ruiz",
"Oregon Smart Growth","10/09/2023","Telephone","Housing and Community Development","Regional Housing Summit","Esau, Rebecca","Amy Ruiz",
"Oregon Smart Growth","10/10/2023","Email","Housing and Community Development","Permitting Consolidation, Interim Director","Esau, Rebecca","Amy Ruiz",
"Oregon Smart Growth","10/12/2023","Personal Meeting","Housing and Community Development","Housing Regulatory relief, inclusionary housing, permitting consolidation","Rubio, Carmen","Amy Ruiz",
"Oregon Smart Growth","10/13/2023","Telephone","Housing and Community Development","Permitting consolidation, interim director","Esau, Rebecca","Amy Ruiz",
"Oregon Smart Growth","10/16/2023","Email","Development Services","Permitting Consolidation","Esau, Rebecca","Amy Ruiz",
"Oregon Smart Growth","10/17/2023","Email","Housing and Community Development","Regional housing summit sponsorship","Esau, Rebecca; Oliveira, Donald","Amy Ruiz",
"Oregon Smart Growth","10/24/2023","Personal Meeting","Transportation: streets, sidewalks and street lighting","PBOT Funding","Williams, Millicent","Amy Ruiz",
"Oregon Smart Growth","10/30/2023","Virtual Meeting","Development Services","Permit improvement task force meeting","Esau, Rebecca","Amy Ruiz",
"Oregon Smart Growth","10/31/2023","Virtual Meeting","Housing and Community Development","Housing regulatory relief, inclusionary housing","Ghan, Christina","Amy Ruiz; Marshall Runkel",
"Oregon Smart Growth","10/31/2023","Virtual Meeting","Housing and Community Development","Housing Production","Engstrom, Eric; Oliveira, Donald","Amy Ruiz",
"Oregon Smart Growth","11/01/2023","Personal Meeting","Housing and Community Development","Housing Regulatory Relief","Smith, Shah","Amy Ruiz",
"Oregon Smart Growth","11/01/2023","Email","Housing and Community Development","Regional Housing Summit","David Kuhnhausen; Esau, Rebecca","Amy Ruiz",
"Oregon Smart Growth","11/02/2023","Personal Meeting","Housing and Community Development","Housing Regulatory Relief","Mapps, Mingus","Amy Ruiz",
"Oregon Smart Growth","11/06/2023","Virtual Meeting","Housing and Community Development","Housing Regulatory Relief","Spevak, Eli","Amy Ruiz",
"Oregon Smart Growth","11/07/2023","Text Message","Housing and Community Development","Housing Regulatory Relief","Oliveira, Donald","Amy Ruiz",
"Oregon Smart Growth","11/14/2023","Virtual Meeting","Housing and Community Development","Housing Regulatory Relief, inclusionary housing","Ghan, Christina","Amy Ruiz; Marshall Runkel",
"Oregon Smart Growth","11/21/2023","Email","Housing and Community Development","housing regulatory relief, inclusionary housing scheduling request","Ghan, Christina; Schoene, Jillian","Amy Ruiz",
"Oregon Smart Growth","11/28/2023","Virtual Meeting","Housing and Community Development","Housing Regulatory Relief, inclusionary housing","Ghan, Christina","Amy Ruiz; Marshall Runkel",
"Oregon Smart Growth","11/29/2023","Virtual Meeting","Housing and Community Development","Housing Regulatory Relief, inclusionary housing","Ghan, Christina; Schoene, Jillian","Amy Ruiz",
"Oregon Smart Growth","11/29/2023","Email","Housing and Community Development","SDC Waiver","Lee, Bobby; Rodriguez, Michelle; Rubio, Carmen; Schoene, Jillian; Smith, Shah; Torres, Kellie; William Lee","Amy Ruiz",
"Oregon Smart Growth","11/30/2023","Virtual Meeting","Transportation: streets, sidewalks and street lighting","PBOT Funding","Andrew Baker; Williams, Millicent","Amy Ruiz",
"Oregon Smart Growth","12/12/2023","Virtual Meeting","Housing and Community Development","Housing regulatory relief, inclusionary housing","Ghan, Christina","Amy Ruiz; Marshall Runkel",
"Oregon Smart Growth","12/15/2023","Email","Housing and Community Development","Inclusionary Housing Framework","Ghan, Christina","Amy Ruiz",
"Oregon Smart Growth","12/18/2023","Email","Housing and Community Development","Housing regulatory relief, inclusionary housing scheduling request","Galvez Mora, Grace; Smith, Shah","Amy Ruiz",
"Oregon Smart Growth","12/18/2023","Email","Housing and Community Development","Housing Regulatory relief, inclusionary housing scheduling request","Fitzpatrick, Andrew","Amy Ruiz",
"Oregon Smart Growth","12/18/2023","Email","Housing and Community Development","Housing Regulatory relief, inclusionary housing scheduling request","McHugh, Thomas","Amy Ruiz",
"Oregon Smart Growth","12/18/2023","Email","Housing and Community Development","Housing Regulatory relief, inclusionary housing scheduling request","Ghan, Christina; Kwon, MeeSeon; Schoene, Jillian","Amy Ruiz",
"Oregon Smart Growth","12/18/2023","Email","Housing and Community Development","Housing Regulatory relief, inclusionary housing scheduling request","Andrew Baker; Rodriguez, Michelle","Amy Ruiz",
"Oregon Smart Growth","12/19/2023","Email","Housing and Community Development","SDC Waiver","Ghan, Christina; Schoene, Jillian","Amy Ruiz",
"Oregon Smart Growth","12/20/2023","Virtual Meeting","Transportation: streets, sidewalks and street lighting","PBOT Funding","Andrew Baker; Williams, Millicent","Amy Ruiz",
"Oregon Smart Growth","12/20/2023","Email","Housing and Community Development","Housing regulatory relief, inclusionary housing scheduling request","Galvez Mora, Grace; Smith, Shah","Amy Ruiz",
"Oregon Smart Growth","12/29/2023","Email","Housing and Community Development","Housing regulatory relief, inclusionary housing scheduling request","Ghan, Christina; Kwon, MeeSeon; Schoene, Jillian","Amy Ruiz",
"Oregon Smart Growth","12/29/2023","Email","Housing and Community Development","Housing regulatory relief, inclusionary housing scheduling request","Andrew Baker; Rodriguez, Michelle","Amy Ruiz",
"Oregon Smart Growth","12/06/2023","Email","Development Services","SDC Deferrals","David Kuhnhausen","Amy Ruiz",
"Port of Portland","10/20/2023","Personal Meeting","Business and Economic Development","Relationship building with Port, PBOT, ODOT and TriMet","Williams, Millicent","Curtis Robinhold",
"Port of Portland","11/17/2023","Personal Meeting","Other: Tour and facial recognition","PDX Terminal Core Tour and facial recognition","Fitzpatrick, Andrew; Wheeler, Ted","Curtis Robinhold; Emerald Bogue; Sheree Temple",
"Port of Portland","10/25/2023","Personal Meeting","Other: Group tour","PDX Terminal Core Tour (included Grace Zarpak, not listed in City officials)","Gonzalez, Rene; Miller, Tom; Smith, Shah","Alexandra Howard; Emerald Bogue",
"Port of Portland","11/09/2023","Personal Meeting","Other: Facial recognition","Facial recognition discussion","Gonzalez, Rene; Miller, Tom; Smith, Shah","Alexandra Howard; Emerald Bogue",
"Port of Portland","11/27/2023","Personal Meeting","Other: Facial recognition","Facial recognition discussion","Rubio, Carmen; Schoene, Jillian","Alexandra Howard; Emerald Bogue",
"Port of Portland","11/14/2023","Personal Meeting","Other: PDX Terminal Core Tour","PDX Terminal Core Tour","David Kuhnhausen","Sheree Temple",
"Port of Portland","11/01/2023","Email","Other: Scheduling request","Scheduling request","Fitzpatrick, Andrew","Emerald Bogue",
"Port of Portland","11/02/2023","Email","Other: Scheduling request","Scheduling request","Galvez Mora, Grace; Gonzalez, Rene; Miller, Tom; Smith, Shah","Emerald Bogue",
"Port of Portland","11/02/2023","Email","Other: Scheduling request","Scheduling request","Kwon, MeeSeon; Rubio, Carmen; Schoene, Jillian","Emerald Bogue",
"Port of Portland","11/06/2023","Email","Other: Scheduling request","Scheduling request","Rodriguez, Michelle","Emerald Bogue",
"Port of Portland","11/09/2023","Personal Meeting","Business and Economic Development","Facial recognition discussion","Rodriguez, Michelle","Emerald Bogue",
"Port of Portland","11/16/2023","Personal Meeting","Business and Economic Development","Facial recognition discussion","Fitzpatrick, Andrew","Emerald Bogue",
"Port of Portland","11/29/2023","Email","Neighborhood Livability: nuisance","Street racing, public safety","Fitzpatrick, Andrew; Howard, Stephanie; Lee, Bobby","Emerald Bogue",
"Port of Portland","12/13/2023","Personal Meeting","Other: Facial recognition","PDX Terminal Core Tour and facial recognition","Ryan, Dan; Torres, Kellie","Emerald Bogue",
"Portland Business Alliance","10/25/2023","Telephone","Business and Economic Development","Planning for downtown events and activation.","Lee, Bobby","Andrew Hoan",
"Portland Business Alliance","10/25/2023","Telephone","Business and Economic Development","Portland Central City Taskforce discussion","Lee, Bobby","Andrew Hoan",
"Portland Business Alliance","11/29/2023","Telephone","Business and Economic Development","Planning for downtown activations/events along Burnside. ","Lee, Bobby","Andrew Hoan",
"Portland Business Alliance","12/06/2023","Telephone","Business and Economic Development","Downtown Ice Rink planning discussion. ","Lee, Bobby","Andrew Hoan",
"Portland Business Alliance","10/12/2023","Telephone","Business and Economic Development","Discussing items related to the Advance Portland plan. ","Branam, Kimberly","Andrew Hoan",
"Portland Business Alliance","10/24/2023","Telephone","Business and Economic Development","Discussing Advance Portland plan and Portland Central City Taskforce. ","Branam, Kimberly","Andrew Hoan",
"Portland Business Alliance","11/24/2023","Telephone","Business and Economic Development","Economic development and OMSI redevelopment discussion. ","Branam, Kimberly","Andrew Hoan",
"Portland Business Alliance","12/07/2023","Telephone","Business and Economic Development","Discussed outcomes of providing tax information to the general public.","Lannom, Thomas","Andrew Hoan",
"Portland Business Alliance","12/15/2023","Telephone","Business and Economic Development","Continuation of 12/7/2023 discussion. Outcomes of providing tax information to the general public. ","Lannom, Thomas","Andrew Hoan",
"Portland Business Alliance","12/19/2023","Telephone","Business and Economic Development","Following up on records request. ","Lannom, Thomas","Andrew Hoan",
"Portland Business Alliance","11/19/2023","Telephone","Business and Economic Development","Discussing next steps on downtown parks.","Ryan, Dan","Andrew Hoan",
"Portland Business Alliance","12/20/2023","Telephone","Business and Economic Development","Parks/Fire referral discussion.","Torres, Kellie","Andrew Hoan",
"Portland Business Alliance","10/04/2023","Personal Meeting","Business and Economic Development","Best practices trip to Milwaukee, WI. Two days of travel with city officials. ","Gonzalez, Rene; Miller, Tom; Rico Cornwell, Angela; Rubio, Carmen","Andrew Hoan; Jon Isaacs; Mark Wells",
"Portland Business Alliance","10/02/2023","Meeting Preparation","Business and Economic Development","Talking points preparation for Best Practices trip. ","Rico Cornwell, Angela","Andrew Hoan",
"Portland Business Alliance","10/03/2023","Meeting Preparation","Business and Economic Development","Talking points preparation for Best Practices trip. ","Miller, Tom; Smith, Shah","Andrew Hoan",
"Portland Business Alliance","12/04/2023","Email","Business and Economic Development","Request for applicant referrals and communications support for Small Business Scholarships program. ","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","10/04/2023","Meeting Preparation","Business and Economic Development","Reminder of talking point and other logistics for Best Practices trip. ","Gonzalez, Rene; Miller, Tom; Rico Cornwell, Angela; Rubio, Carmen","Andrew Hoan",
"Portland Business Alliance","10/25/2023","Meeting Preparation","Business and Economic Development","Transmitting contact information to Commissioner Gonzalez's office. ","Miller, Tom","Andrew Hoan",
"Portland Business Alliance","11/03/2023","Meeting Preparation","Business and Economic Development","Check-in meeting with Mayor's office, Prosper Portland, and EcoNW regarding Portland Central City Taskforce. ","Branam, Kimberly; Fitzpatrick, Andrew","Andrew Hoan",
"Portland Business Alliance","11/06/2023","Personal Meeting","Business and Economic Development","Prosper Portland community input meeting to review council impact statements regarding the Advance Portland plan. ","Branam, Kimberly","Andrew Hoan",
"Portland Business Alliance","11/08/2023","Email","Business and Economic Development","Invite to Economic Summit. ","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","11/10/2023","Email","Business and Economic Development","Providing commentary on Advance Portland impact statements.","Branam, Kimberly","Andrew Hoan",
"Portland Business Alliance","11/28/2023","Email","Business and Economic Development","Economic Summit reminder Invitation. ","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","11/30/2023","Email","Business and Economic Development","Holiday Open House invitation.","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","11/30/2023","Email","Business and Economic Development","Washington, DC trip invite. ","Gonzalez, Rene; Mapps, Mingus; Rubio, Carmen; Ryan, Dan; Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","12/06/2023","Meeting Preparation","Business and Economic Development","Preparation for Mayor's board meeting attendance.","Fitzpatrick, Andrew; Lee, Bobby","Andrew Hoan",
"Portland Business Alliance","12/06/2023","Email","Business and Economic Development","Responding to audit recommendations for ESD's. ","Fitzpatrick, Andrew","Andrew Hoan",
"Portland Business Alliance","12/06/2023","Email","Business and Economic Development","Additional responses to ESD audit recommendations. ","Fitzpatrick, Andrew","Andrew Hoan",
"Portland Business Alliance","10/30/2023","Personal Meeting","Business and Economic Development","Best Practices debrief meeting, discussing trip impact. ","Miller, Tom; Rico Cornwell, Angela","Andrew Hoan",
"Portland Business Alliance","10/16/2023","Personal Meeting","Business and Economic Development","Portland Central City Taskforce Community Safety Committee  meeting. ","Dennis, Kristin; Howard, Stephanie; Wheeler, Ted","Mark Wells",
"Portland Business Alliance","10/24/2023","Virtual Meeting","Business and Economic Development","Portland Central City Taskforce Community Safety Committee  meeting. ","Dennis, Kristin; Howard, Stephanie; Wheeler, Ted","Mark Wells",
"Portland Business Alliance","10/26/2023","Personal Meeting","Business and Economic Development","Portland Central City Taskforce Community Safety Committee  meeting. ","Dennis, Kristin; Howard, Stephanie; Wheeler, Ted","Mark Wells",
"Portland Business Alliance","10/03/2023","Email","Business and Economic Development","CC'ed into email about security fencing. ","Fitzpatrick, Andrew; Lee, Bobby; Thompson, Dakotah","Mark Wells",
"Portland Business Alliance","12/04/2023","Email","Business and Economic Development","Sending Hotel Security District map. ","Fitzpatrick, Andrew; Thompson, Dakotah","Mark Wells",
"Portland Business Alliance","10/10/2023","Email","Business and Economic Development","CC'ed on email to building owner regarding illegal camp. ","Lee, Bobby","Mark Wells",
"Portland Business Alliance","10/10/2023","Email","Business and Economic Development","Providing list of illegal street vendors and asked about enforcement plan. ","Thompson, Dakotah","Mark Wells",
"Portland Business Alliance","10/17/2023","Personal Meeting","Business and Economic Development","West End security district, joint security and operations meeting. ","Fitzpatrick, Andrew; Thompson, Dakotah","Mark Wells",
"Portland Business Alliance","10/17/2023","Email","Business and Economic Development","Crime surrounding Behavioral Health Resource Center. ","Lee, Bobby","Mark Wells",
"Portland Business Alliance","10/17/2023","Email","Business and Economic Development","RSVP for Target closure stakeholder meeting. ","Lee, Bobby","Mark Wells",
"Portland Business Alliance","10/19/2023","Email","Business and Economic Development","Protest activity and downtown building safety issues.","Fitzpatrick, Andrew","Mark Wells",
"Portland Business Alliance","10/31/2023","Personal Meeting","Business and Economic Development","Ritz Carlton opening. ","Lee, Bobby; Wheeler, Ted","Mark Wells",
"Portland Business Alliance","11/01/2023","Email","Business and Economic Development","CC'ed on email from ratepayer regarding garage prowls. ","Lee, Bobby","Mark Wells",
"Portland Business Alliance","11/02/2023","Email","Business and Economic Development","CC'ed on email regarding downtown holiday activations and PR campaign. ","Lee, Bobby","Mark Wells",
"Portland Business Alliance","11/07/2023","Email","Business and Economic Development","CC'ed on email to Portland Bureau of Emergency Management. ","Howard, Stephanie; Thompson, Dakotah","Mark Wells",
"Portland Business Alliance","11/07/2023","Email","Business and Economic Development","CC'ed on email to Portland Bureau of Emergency Management. ","Howard, Stephanie; Thompson, Dakotah","Mark Wells",
"Portland Business Alliance","11/15/2023","Email","Business and Economic Development","CC'ed on email regarding ongoing drug dealing near Behavioral Health Resource Center. ","Lee, Bobby; Mapps, Mingus","Mark Wells",
"Portland Business Alliance","11/16/2023","Email","Business and Economic Development","Asked for guidance regarding city enforcement of Americans with Disabilities Act settlement. ","Howard, Stephanie; Thompson, Dakotah","Mark Wells",
"Portland Business Alliance","12/11/2023","Text Message","Business and Economic Development","Exchanged ""thank you"" messages, discussed Downtown Portland Clean & Safe Involvement with Central City Taskforce. ","Ryan, Dan","Mark Wells",
"Portland Business Alliance","12/13/2023","Personal Meeting","Business and Economic Development","Mayor Wheeler attendance at Portland Metro Chamber board meeting. ","Brocker-Knapp, Skyler; Fitzpatrick, Andrew; Lee, Bobby; Wheeler, Ted","Andrew Hoan; Jay Clark; Jon Isaacs; Mark Wells; Meikelo Cabbage",
"Portland Business Alliance","12/19/2023","Email","Business and Economic Development","Requesting connection with city attorney.","Fitzpatrick, Andrew","Mark Wells",
"Portland Business Alliance","12/21/2023","Email","Business and Economic Development","Email chain regarding encampments and Americans with Disabilities Act violations. ","Fitzpatrick, Andrew; Lee, Bobby; Thompson, Dakotah","Mark Wells",
"Portland Business Alliance","10/06/2023","Personal Meeting","Business and Economic Development","Meeting regarding public safety during Best Practices trip to Milwaukee, WI. ","Gonzalez, Rene","Jon Isaacs",
"Portland Business Alliance","10/09/2023","Telephone","Business and Economic Development","Portland Central City Taskforce discussion. ","Chase, Sam","Jon Isaacs",
"Portland Business Alliance","10/19/2023","Personal Meeting","Business and Economic Development","Regularly scheduled quarterly meetings. ","Gonzalez, Rene; Ryan, Dan","Andrew Hoan; Jay Clark; Jon Isaacs; Mark Wells; Meikelo Cabbage; Steve Wytcherley",
"Portland Business Alliance","10/24/2023","Personal Meeting","Business and Economic Development","PBOT Funding conversation. ","Williams, Millicent","Jon Isaacs; Meikelo Cabbage",
"Portland Business Alliance","10/10/2023","Email","Business and Economic Development","Clean Water discussion. ","Mapps, Mingus","Jon Isaacs",
"Portland Business Alliance","10/25/2023","Personal Meeting","Business and Economic Development","Clean Industry Hub meeting. ","Schoene, Jillian","Jon Isaacs; Meikelo Cabbage",
"Portland Business Alliance","10/25/2023","Personal Meeting","Business and Economic Development","Portland Central City Taskforce discussion. ","Wheeler, Ted","Andrew Hoan; Jay Clark; Jon Isaacs; Meikelo Cabbage",
"Portland Business Alliance","10/30/2023","Personal Meeting","Business and Economic Development","Permitting Improvement Taskforce meeting. ","Rubio, Carmen","Jon Isaacs",
"Portland Business Alliance","11/14/2023","Personal Meeting","Business and Economic Development","Economic development/Advance Portland discussion. ","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","11/21/2023","Personal Meeting","Business and Economic Development","Introductory meeting/downtown issues. ","Andrew Baker","Jon Isaacs",
"Portland Business Alliance","11/29/2023","Personal Meeting","Business and Economic Development","Housing production. ","Ghan, Christina","Jon Isaacs",
"Portland Business Alliance","11/30/2023","Personal Meeting","Business and Economic Development","PBOT funding.","Williams, Millicent","Jon Isaacs; Meikelo Cabbage",
"Portland Business Alliance","12/06/2023","Personal Meeting","Business and Economic Development","Clean Industry meeting. ","Oliveira, Donald","Jon Isaacs",
"Portland Business Alliance","12/20/2023","Personal Meeting","Business and Economic Development","PBOT Funding. ","Williams, Millicent","Jon Isaacs",
"Portland Business Alliance","10/03/2023","Telephone","Business and Economic Development","Downtown security issues. ","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","10/03/2023","Email","Business and Economic Development","Best Practices trip logistics. ","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","10/03/2023","Email","Business and Economic Development","Utility fees email chain. ","Oliveira, Donald","Jon Isaacs",
"Portland Business Alliance","10/05/2023","Meeting Preparation","Business and Economic Development","Scheduling upcoming meeting.","Chase, Sam","Jon Isaacs",
"Portland Business Alliance","10/11/2023","Email","Business and Economic Development","Utility fees. ","Oliveira, Donald","Jon Isaacs",
"Portland Business Alliance","10/11/2023","Email","Business and Economic Development","Downtown ice skating rink. ","Rico Cornwell, Angela","Jon Isaacs",
"Portland Business Alliance","10/16/2023","Email","Business and Economic Development","Government fees. ","McHugh, Thomas","Jon Isaacs",
"Portland Business Alliance","10/16/2023","Email","Business and Economic Development","Portland Central City Taskforce discussion. ","Lee, Bobby","Jon Isaacs",
"Portland Business Alliance","10/16/2023","Email","Business and Economic Development"," Portland Central City Taskforce discussion. ","Chase, Sam","Jon Isaacs",
"Portland Business Alliance","10/18/2023","Email","Business and Economic Development","Sending agenda for regularly scheduled quarterly meetings with Commissioners Ryan and Gonzalez. ","McHugh, Thomas; Smith, Shah","Jon Isaacs",
"Portland Business Alliance","10/19/2023","Telephone","Business and Economic Development","Downtown security. ","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","10/31/2023","Email","Business and Economic Development","Portland Central City Taskforce discussion. ","Lee, Bobby","Jon Isaacs",
"Portland Business Alliance","11/06/2023","Email","Business and Economic Development","Portland Central City Taskforce discussion. ","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","11/13/2023","Email","Business and Economic Development","Police Accountability Commission conversation. ","Rico Cornwell, Angela","Jon Isaacs",
"Portland Business Alliance","11/21/2023","Email","Business and Economic Development","Housing production discussion. ","Schoene, Jillian","Jon Isaacs",
"Portland Business Alliance","12/01/2023","Email","Business and Economic Development","Washington, DC trip invite. ","Schoene, Jillian","Jon Isaacs",
"Portland Business Alliance","12/01/2023","Email","Business and Economic Development","Downtown recovery. ","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","12/13/2023","Email","Business and Economic Development","Clean Industry Hub discussion. ","Oliveira, Donald","Jon Isaacs",
"Portland Business Alliance","12/14/2023","Email","Business and Economic Development","Portland Clean Energy Fund. ","Schoene, Jillian","Jon Isaacs",
"Portland Business Alliance","10/09/2023","Telephone","Business and Economic Development","Portland Central City Taskforce discussion. ","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","10/19/2023","Telephone","Business and Economic Development","Homelessness discussion.","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","12/13/2023","Telephone","Business and Economic Development","Downtown discussion. ","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","12/14/2023","Telephone","Business and Economic Development","Enhanced Service Districts discussion. ","Fitzpatrick, Andrew","Jon Isaacs",
"Portland Business Alliance","11/16/2023","Telephone","Business and Economic Development","Restaurants and fire code discussion.  ","Smith, Shah","Jon Isaacs",
"Portland Business Alliance","11/29/2023","Telephone","Business and Economic Development","Clean Water","Smith, Shah","Jon Isaacs",
"Portland Business Alliance","11/01/2023","Telephone","Business and Economic Development","Parks discussion.","McHugh, Thomas","Jon Isaacs",
"Portland Business Alliance","11/10/2023","Text Message","Business and Economic Development","Parks bond discussion.","McHugh, Thomas","Jon Isaacs",
"Portland Business Alliance","11/14/2023","Personal Meeting","Business and Economic Development","Parks bond meeting.","McHugh, Thomas","Jon Isaacs",
"Portland Business Alliance","12/19/2023","Text Message","Business and Economic Development","Parks bond. ","McHugh, Thomas","Jon Isaacs",
"Portland Business Alliance","12/20/2023","Telephone","Business and Economic Development","Parks bond. ","McHugh, Thomas","Jon Isaacs",
"Portland Business Alliance","11/07/2023","Telephone","Business and Economic Development","Right of Way code. ","Oliveira, Donald","Jon Isaacs",
"Portland Business Alliance","11/14/2023","Text Message","Business and Economic Development","Right of Way code. ","Oliveira, Donald","Jon Isaacs",
"Portland Business Alliance","11/19/2023","Telephone","Business and Economic Development","Clean Industry. ","Oliveira, Donald","Jon Isaacs",
"Portland Business Alliance","12/20/2023","Email","Business and Economic Development","Ribbon cutting invitation. ","Fitzpatrick, Andrew","Jay Clark",
"Portland Business Alliance","12/20/2023","Email","Business and Economic Development","Ribbon cutting invitation. ","Smith, Shah","Jay Clark",
"Portland Business Alliance","12/20/2023","Email","Business and Economic Development","Ribbon cutting invitation. ","McHugh, Thomas","Jay Clark",
"Portland Business Alliance","12/20/2023","Email","Business and Economic Development","Ribbon cutting invitation. ","Souede, Jill","Jay Clark",
"Portland Business Alliance","12/20/2023","Email","Business and Economic Development","Ribbon cutting invitation. ","Rodriguez, Michelle","Jay Clark",
"Portland Business Alliance","12/21/2023","Email","Business and Economic Development","Ribbon cutting details/logistics. ","Souede, Jill","Jay Clark",
"Portland Business Alliance","10/02/2023","Email","Business and Economic Development","cc'd on email regarding Restore Grant Opportunities
","Fitzpatrick, Andrew; Lee, Bobby","Steve Wytcherley",
