"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Coalition of Communities of Color","05/01/2025","","Email","Environment: natural","Increasing funding for the Diversity and Civic Leadership program","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Alex Riedlinger",
"Coalition of Communities of Color","05/09/2025","","Telephone","Other: City budget allocations","Priorities in city budget, including Diversity and Civic Leadership, Portland Clean Energy Fund, parks, housing, and public safety","Candace Avalos","Jenny Lee",
"Coalition of Communities of Color","05/23/2025","","Personal Meeting","Environment: natural","Support for building sustainability standards, community engagement around criticial energy infrastructure, learned about the City's heat mapping, and shared information on health equity partnership.","Eric Engstrom","Nikita Daryanani; Taren Evans",
"Coalition of Communities of Color","06/12/2025","","Personal Meeting","Police and Public Safety","Advocated for compliance with federal consent decrees, staffing and retention, against use of force with protests, and improved community outreach","Robert Day","Marcus Mundy",
"Coalition of Communities of Color","06/18/2025","06/30/2025","Email","Other: Equity","Implementing the Coalition of Communities of Color's relational accountability tool to improve equity in government.","Sofia Diffee","Mira Mohsini",
"Coalition of Communities of Color","06/30/2025","","Telephone","Other: Community engagement","Discussed how to improve community engagement in City Council processes. ","Loretta Smith","Marcus Mundy",
"Columbia Corridor Association","05/23/2025","","Telephone; Text Message","Development Services","recommendations for permitting improvements","Millicent Williams","Corky Collier",
"Columbia Corridor Association","05/28/2025","","Personal Meeting","Development Services","improvements to permitting system","Elana Pirtle-Guiney","Alexis Elias; Corky Collier; Victor Roehm",
"Columbia Corridor Association","06/30/2025","","Email","Business and Economic Development","recommendations for permitting improvements","Elana Pirtle-Guiney","Corky Collier",
"Friends of PSR","04/01/2025","06/30/2025","Committee Meeting; Communication Preparation; Email; Meeting Preparation; Personal Meeting; Social Media","Police and Public Safety","Portland Street Response","Andre Miller; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamey Evenstar; Jamie Dunphy; Jamie Dunphy; Keith Wilson; Kristopher Taft; Lisa Freeman; Loretta Smith; Maria Sipin; Mitch Green; Natalie Sept; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Jackie Yerby",
"Frog Ferry","04/01/2025","06/30/2025","Communication Preparation; Direct Mail; Email; Personal Meeting","Transportation: streets, sidewalks and street lighting","Area of focus is we were asking for the path forward to get a letter of support from City Council.  Not a budget item. ","Adena Long; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Jamie Dunphy; Keith Wilson; Lisa Freeman; Loretta Smith; Megan Beyer; Mitch Green; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","James Paulson; Jennifer Schloming; Susan Bladholm",
"Frog Ferry","04/01/2025","06/30/2025","Committee Meeting","Transportation: streets, sidewalks and street lighting","June 4: City Council testimony: Susan Bladholm","Angelita Morillo","Susan Bladholm",
"Habitat for Humanity Portland Region","04/02/2025","","Committee Meeting","Housing and Community Development","Ordinance to Study Alternative forms of Housing Finance and Ownership","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Jamie Dunphy; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","05/09/2025","","Email","Housing and Community Development","Land Banks and Community Land Trusts","Amani Kelekele; Andre Miller; Angelita Morillo; Candace Avalos; Christian Aguinaga ; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Faisal Osman; Jamey Evenstar; Jamie Dunphy; Jamie Dunphy; Keith Wilson; Loretta Smith; Maria Sipin; Mitch Green; Olivia Clark; Sameer Kanal; Sprout Chinn; Steve Novick; Tiffany Koyama Lane","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","06/03/2025","06/06/2025","Email","Housing and Community Development","Public Works Permitting","Christian Aguinaga ","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","06/05/2025","","Personal Meeting","Housing and Community Development","Land Banks and Community Land Trusts","Jamie Dunphy","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","06/10/2025","","Committee Meeting","Housing and Community Development","Permit Improvement Project","Steph Routh","Sarah D Radcliffe",
"Halprin Landscape Conservancy","04/29/2025","","Telephone","Arts and Culture","City information on various project spelled out in the October, 2024 Resolution","Dan Ryan","Karen Whitman",
"Halprin Landscape Conservancy","05/14/2025","","Email","Arts and Culture","Budget Note ","Olivia Clark","Karen Whitman",
"James Beard Public Market","04/01/2025","","Email","Business and Economic Development","James Beard Public Market tour","Candace Avalos; Eva Stanganelli; Jamey Evenstar; Sofia Diffee","Amy Ruiz",
"James Beard Public Market","04/17/2025","","Personal Meeting","Business and Economic Development","JBPM","Sameer Kanal","Kari Chisholm",
"James Beard Public Market","04/21/2025","04/30/2025","Email; Personal Meeting; Text Message","Business and Economic Development","market tour","Aisling Coghlan; Raihana Ansary ","Amy Ruiz; Jessica Elkan",
"James Beard Public Market","04/23/2025","","Email","Business and Economic Development","JBMP Funding","Mitch Green","Amy Ruiz",
"James Beard Public Market","04/23/2025","","Email","Business and Economic Development","JBPM","Mitch Green","Amy Ruiz",
"James Beard Public Market","05/01/2025","06/04/2025","Telephone; Text Message","Business and Economic Development","permitting / funding","Raihana Ansary ","Amy Ruiz",
"James Beard Public Market","05/08/2025","","Text Message","Business and Economic Development","JBPM / Prosper Budget","Donnie Oliveira","Amy Ruiz",
"James Beard Public Market","05/08/2025","","Email","Business and Economic Development","Permit Timing ","David Kuhnhausen; Donnie Oliveira","Amy Ruiz",
"James Beard Public Market","05/09/2025","","Email","Business and Economic Development","JBMP Permits","David Kuhnhausen; Donnie Oliveira","Amy Ruiz",
"James Beard Public Market","05/09/2025","","Telephone; Text Message","Business and Economic Development","market permitting/timeline","Elana Pirtle-Guiney","Amy Ruiz",
"James Beard Public Market","05/13/2025","","Virtual Meeting","Business and Economic Development","Permit Sequencing ","David Kuhnhausen","Amy Ruiz; Jessica Elkan",
"James Beard Public Market","05/19/2025","","Text Message","Business and Economic Development","budget funding","Eric Zimmerman","Amy Ruiz",
"James Beard Public Market","05/20/2025","","Telephone; Text Message","Business and Economic Development","Budget hearing","Natalie Sept","Amy Ruiz",
"James Beard Public Market","05/29/2025","","Email","Business and Economic Development","JBPM","Amani Kelekele; Jamie Dunphy","Jessica Elkan; Kari Chisholm",
"James Beard Public Market","05/29/2025","06/18/2025","Email; Telephone","Business and Economic Development","JBPM","Amani Kelekele","Amy Ruiz; Kari Chisholm",
"James Beard Public Market","06/11/2025","","Text Message","Business and Economic Development","permitting","Donnie Oliveira","Amy Ruiz",
"James Beard Public Market","06/11/2025","","Text Message","Business and Economic Development","Budget funding for market","Natalie Sept","Amy Ruiz",
"James Beard Public Market","06/25/2025","","Personal Meeting","Business and Economic Development","JBPM city funding availability","Aisling Coghlan","Amy Ruiz",
"League of Women Voters of Portland","04/10/2025","","Email","Police and Public Safety","City budget process:  fully fund Community Violence Intervention programs through Division of Public Safety and Office of Violence Prevention","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Carolyn Buppert ",
"League of Women Voters of Portland","05/08/2025","06/03/2025","Committee Meeting; Email; Meeting Preparation","Police and Public Safety","Plan for response to April 28, 2025 presidential executive order related to policing and the city's settlement agreement with the U.S. DOJ","Angelita Morillo; Candace Avalos; Christian Aguinaga ; Lisa Freeman; Sameer Kanal","Debbie Aiona",
"League of Women Voters of Portland","05/13/2025","","Email","Police and Public Safety","Specific recommendations to improve transparency and accountability related to the Portland Police Bureau's cooperation with the FBI's Joint Terrorism Task Force.  ","Keith Wilson; Kristopher Taft; Robert Day","Carolyn Buppert ; Debbie Aiona",
"Lyft, Inc.","05/08/2025","","Personal Meeting","Other: Budget","TNC Fee","Millicent Williams; Priya Dhanapal; Raihana Ansary ","Marshall Runkel",
"Lyft, Inc.","05/14/2025","","Personal Meeting","Other: Budget","TNC Fee","Priya Dhanapal; Raihana Ansary ","Marshall Runkel",
"Lyft, Inc.","05/14/2025","","Personal Meeting","Other: Budget","TNC Fee","Aisling Coghlan; Grace Galvez Mora; Kristopher Taft; Millicent Williams","Jon Walker",
"Lyft, Inc.","06/02/2025","","Email","Other: Budget","TNC Fee","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Marshall Runkel",
"Lyft, Inc.","06/10/2025","","Virtual Meeting","Other: Budget","TNC Fee","Andre Miller","Elizabeth Hahn",
"Lyft, Inc.","06/10/2025","","Telephone","Other: Budget","TNC Fee","Andre Miller","Jon Walker",
"Lyft, Inc.","06/12/2025","","Personal Meeting","Other: Budget","TNC Fee","Elana Pirtle-Guiney; Emily Hebbron","Marshall Runkel",
"Lyft, Inc.","06/16/2025","","Telephone","Other: Budget","TNC Fee","Elana Pirtle-Guiney","Jon Walker",
"Lyft, Inc.","06/16/2025","","Virtual Meeting","Other: Budget","TNC Fee","Elana Pirtle-Guiney","Elizabeth Hahn",
"Lyft, Inc.","06/23/2025","","Email","Other: Budget","TNC Fee","Aisling Coghlan","Jon Walker",
"Monqui Presents","06/09/2025","","Personal Meeting","Business and Economic Development","Live Nation Venue","Jamie Dunphy","Erik Sten; Marshall Runkel",
"Multifamily NW","04/01/2025","","Personal Meeting","Housing and Community Development","Meeting with Councilor Clark, Novick and Spencer Knowles regarding rent software ban.","Olivia Clark; Spencer Knowles; Steve Novick","Molly McGrew",
"Multifamily NW","04/02/2025","","Communication Preparation","Housing and Community Development","Attend hearing on rent software ban, prepare and give testimony.","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Marcel Gesmundo",
"Multifamily NW","04/03/2025","","Email","Housing and Community Development","Emailed Will Mespelt in Dan Ryan's office to discuss sale of property in relation to the software ban ordinance","Will Mespelt","Zach Lindahl",
"Multifamily NW","04/03/2025","","Telephone","Housing and Community Development","Disucssed challenges of the software ban on the phone with Will Mespelt.","Will Mespelt","Zach Lindahl",
"Multifamily NW","04/04/2025","","Email","Housing and Community Development","Reached out regarding rental software ban ordinance.","Elana Pirtle-Guiney","Zach Lindahl",
"Multifamily NW","04/04/2025","","Email","Housing and Community Development","Reached out regarding rental software ban ordinance.","Eric Zimmerman","Zach Lindahl",
"Multifamily NW","04/04/2025","","Email","Housing and Community Development","Reached out regarding rental software ban ordinance.","Dan Ryan","Zach Lindahl",
"Multifamily NW","04/04/2025","","Email","Housing and Community Development","Reached out regarding rental software ban ordinance.","Olivia Clark","Zach Lindahl",
"Multifamily NW","04/04/2025","","Email","Housing and Community Development","Reached out regarding rental software ban ordinance.","Loretta Smith","Zach Lindahl",
"Multifamily NW","04/08/2025","","Personal Meeting","Housing and Community Development","Met with Councilor Olivia Clark to discuss challenges with the software ban and a proposed amendment to help get our organization to neutral.","Olivia Clark","Marcel Gesmundo; Zach Lindahl",
"Multifamily NW","04/08/2025","","Text Message","Housing and Community Development","Outreach to Dan Ryan regarding rent software ban.","Dan Ryan","Molly McGrew",
"Multifamily NW","04/10/2025","","Personal Meeting; Virtual Meeting","Housing and Community Development","Met with Councilor Ryan and Council Aide Will to discuss software ban and amendments.","Dan Ryan; Will Mespelt","Marcel Gesmundo; Zach Lindahl",
"Multifamily NW","04/10/2025","","Text Message","Housing and Community Development","Reached out to Councilor Ryan and Will Mespelt regarding written and oral testimony for public hearing for rent software ban.","Dan Ryan; Will Mespelt","Molly McGrew",
"Multifamily NW","04/11/2025","","Email","Housing and Community Development","Sent proposed amendments to Councilor Ryan and Will Mespelt on the software ban ordinance.","Dan Ryan; Will Mespelt","Zach Lindahl",
"Multifamily NW","04/11/2025","","Email","Housing and Community Development","Sent proposed amendments to Councilor Clark on the software ban.","Olivia Clark","Zach Lindahl",
"Multifamily NW","04/14/2025","","Email","Housing and Community Development","Emailed Councilor Avalos regarding changes to rent assistance disbursement and city pool for renters assistance for those under 50% AMI.","Candace Avalos","Zach Lindahl",
"Multifamily NW","04/15/2025","","Virtual Meeting","Sustainable Development: energy","Met to discuss the BPS Energy Reporting requirements and some of the recycling/waste management.","Eric Engstrom","Jonathan Clay; Zach Lindahl",
"Multifamily NW","04/16/2025","","Telephone","Housing and Community Development","Left voicemail for Natalie Sept regarding rent software ban.","Natalie Sept","Zach Lindahl",
"Multifamily NW","04/28/2025","","Email","Housing and Community Development","Emailed Councilor Morillo on several housing related concepts that can be worked on including changes to rent assistance disbursement and city pool for renters assistance for those under 50% AMI.","Angelita Morillo","Zach Lindahl",
"Multifamily NW","04/28/2025","","Email","Housing and Community Development","Contacted Councilor Dunphy regarding changes to rent assistance disbursement and city pool for renters assistance for those under 50% AMI.","Jamie Dunphy","Zach Lindahl",
"Multifamily NW","05/01/2025","06/03/2025","Email","Housing and Community Development","Outreach on SDC waivers on behalf of Joseph Petrusich of Sabr Development.","Alexander Browne; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Keith Wilson; Loretta Smith; Mitch Green; Sameer Kanal; Spencer Knowles","Molly McGrew",
"Multifamily NW","06/23/2025","","Personal Meeting","Housing and Community Development","Zach Lindahl and several housing providers met with Councilor Kanal and Cheif of Staff about a number of housing issues, including vacancy and cost of rent.","Lisa Freeman; Sameer Kanal","Zach Lindahl",
"Multifamily NW","06/23/2025","","Email","Housing and Community Development","Follow up email with Councilor Kanal and Lisa Freman from in-person meeting the same day.","Lisa Freeman; Sameer Kanal","Zach Lindahl",
"Nancy Hiser","04/01/2025","","Communication Preparation; Email; Meeting Preparation; Personal Meeting","Other: community safety","Request Support CEI Hub state legislation","Eric Zimmerman; Jamie Dunphy","Nancy G Hiser",
"Nancy Hiser","04/11/2025","","Personal Meeting","Other: Community Safety","Promote CEI Hub legislation","Mitch Green","Nancy G Hiser",
"Nancy Hiser","04/15/2025","","Personal Meeting","Other: Building relationship","Offer support; ask advice","Jamie Dunphy","Nancy G Hiser",
"Nancy Hiser","04/16/2025","04/18/2025","Email","Other: Community Inclusion","Call for community inclusion on CEI Hub Policy Project","Angelita Morillo; Candace Avalos; Dan Ryan; Donnie Oliveira; Elana Pirtle-Guiney; Eric Engstrom; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Nancy G Hiser",
"Nancy Hiser","04/17/2025","04/21/2025","Communication Preparation; Email; Indirect Lobbying","Other: Community Inclusion","Called for community inclusion on the CEI Hub Policy Project, Ordinance 191896 by email campaign of community advocates for Linnton & Allies Speak Out","Donnie Oliveira; Elana Pirtle-Guiney; Eric Engstrom; Keith Wilson","Nancy G Hiser",
"Nancy Hiser","04/18/2025","06/28/2025","Email","Other: Community Inclusion","Support community inclusion on DEI Hub project","Donnie Oliveira","Nancy G Hiser",
"Nancy Hiser","04/29/2025","05/02/2025","Email","Police and Public Safety","Support Traffic Safety","Olivia Clark","Nancy G Hiser",
"Nancy Hiser","04/30/2025","05/01/2025","Email; Virtual Meeting","Other: Community Inclusion","Reviewed language of OEM grant, Ordinance 191896 in preparation for meeting with BPS staff re: community role in proposing policies to increase community safety.  Meeting w/ BPS Donnie Oliveira &staff","Donnie Oliveira","Nancy G Hiser",
"Nancy Hiser","05/01/2025","","Email","Environment: natural","Oppose PGE expansion cutting trees","Mitch Green","Nancy G Hiser",
"Nancy Hiser","05/05/2025","06/30/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Virtual Meeting","Other: Community Safety","Address CEI Hub Policy Project
(with BPS staff so I selected Eric Engstrom although he is not present at meetings)","Eric Engstrom","Nancy G Hiser",
"Nancy Hiser","05/07/2025","","Email","Police and Public Safety","Support budget Allocation for CEI Hub ","Olivia Clark","Nancy G Hiser",
"Nancy Hiser","05/08/2025","","Email","Financial Administration and Management","Support City Council needs on Budget Allocations, follow GTAC recommendations","Eric Zimmerman; Keith Wilson; Mitch Green; Olivia Clark","Nancy G Hiser",
"Nancy Hiser","05/08/2025","","Personal Meeting","Other: Building Relationship","Ask Advice/Offer Support","Lisa Freeman","Nancy G Hiser",
"Nancy Hiser","05/12/2025","","Email","Police and Public Safety","Call for support of state CEI Hub-related legislation","Mitch Green","Nancy G Hiser",
"Nancy Hiser","05/13/2025","","Direct Mail; Email","Other: Community Safety/Zenith Energy","Requested City Auditor to conduct fact finding investigation into City decision to grant LUCS to Zenith Energy.","Simone Rede","Nancy G Hiser",
"Nancy Hiser","05/14/2025","06/01/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Social Media","Police and Public Safety","Promote Olivia Clark ""office hours"" in Linnton","Olivia Clark","Nancy G Hiser",
"Nancy Hiser","05/15/2025","","Email","Other: Building relationship","Advise of community advocate meeting with BPS","Elana Pirtle-Guiney","Nancy G Hiser",
"Nancy Hiser","05/16/2025","","Email","Neighborhood Livability: general","Asked for support for Frog Ferry","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Nancy G Hiser",
"Nancy Hiser","05/20/2025","","Email","Business and Economic Development","Signed letter of support to City Council to close budget gap by redirecting $11M from Prosper Portland","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Nancy G Hiser",
